iter	Passed	Remaining
328	42759	607080
329	42868	606656
330	43019	606815
331	43127	606384
332	43243	606060
333	43365	605817
334	43477	605440
335	43652	605945
336	43786	605863
337	43915	605718
338	44028	605361
339	44150	605122
340	44255	604648
341	44370	604326
342	44594	605468
343	44750	605686
344	44875	605488
345	44993	605198
346	45113	604932
347	45222	604523
348	45334	604159
349	45445	603771
350	45630	604380
351	45750	604111
352	45862	603742
353	45975	603390
354	46086	603013
355	46233	603117
356	46381	603218
357	46517	603166
358	46654	603134
359	46768	602792
360	46883	602468
361	46983	601963
362	47100	601662
363	47262	601947
364	47366	601485
365	47474	601086
366	47639	601405
367	47760	601155
368	47870	600784
369	47970	600281
370	48069	599765
371	48176	599362
372	48297	599121
373	48388	598521
374	48506	598251
375	48686	598735
376	48819	598659
377	48951	598559
378	49071	598304
379	49169	597796
380	49265	597266
381	49380	596962
382	49515	596905
383	49697	597410
384	49841	597449
385	49947	597041
386	50087	597038
387	50202	596732
388	50320	596467
389	50444	596274
390	50617	596660
391	50719	596213
392	50844	596027
393	50946	595583
394	51052	595186
395	51164	594855
396	51277	594537
397	51407	594413
